pmcid,filename,gold_facts,pred_facts,tp,fp_in_gold,fn,extra_predictions,precision,recall,f1
115849,115849_direct.jsonl,42,70,30,0,12,40,1.0,0.7142857142857143,0.8333333333333333
1475568,1475568_direct.jsonl,52,56,44,4,8,8,0.9166666666666666,0.8461538461538461,0.8799999999999999
1574360,1574360_direct.jsonl,12,6,4,2,8,0,0.6666666666666666,0.3333333333333333,0.4444444444444444
1863515,1863515_direct.jsonl,24,24,12,12,12,0,0.5,0.5,0.5
2363753,2363753_direct.jsonl,14,16,12,2,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
2430617,2430617_direct.jsonl,10,7,7,0,3,0,1.0,0.7,0.8235294117647058
2596788,2596788_direct.jsonl,4,4,4,0,0,0,1.0,1.0,1.0
2667135,2667135_direct.jsonl,16,16,15,1,1,0,0.9375,0.9375,0.9375
2836833,2836833_direct.jsonl,8,14,0,6,8,8,0.0,0.0,0.0
547916,547916_direct.jsonl,6,6,2,4,4,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
