pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,intervention_rate,comparator_rate,source_file
1216327,The mean body weight gain,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,51.0,,-7.0,,,,1216327_zeroshot.jsonl
1216327,The duration of the illness,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,48.0,39.0,27.0,27.0,,,1216327_zeroshot.jsonl
1216327,The fecal losses,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,3.59,2.35,2.19,1.63,,,1216327_zeroshot.jsonl
2681019,Adiponectin in women,Red wine,Control,continuous,,12.0,,12.0,30.0,10.0,0.0,5.0,,,2681019_zeroshot.jsonl
2681019,Adiponectin in men,Ethanol solution,Control,continuous,,12.0,,12.0,17.0,10.0,0.0,5.0,,,2681019_zeroshot.jsonl
2681019,Adiponectin in men,Beer,Control,continuous,,12.0,,12.0,16.0,10.0,0.0,5.0,,,2681019_zeroshot.jsonl
3276927,relieving factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,effective in the treatment of reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,frequency of occurrence in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,"symptoms of hernia such as heaviness, fullness and pain",post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,pain in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3276927,aggravating factors in reversible inguinal hernia,post-Yoga,pre-Yoga,continuous,,19.0,,19.0,,,,,,,3276927_zeroshot.jsonl
3580751,mean ± SD length of hospital stay between periods 1 and 2 in patients who did not suffer from VAP,Interrupted surveillance unit A,"Continuous surveillance, unit B",continuous,,,,,,,,,,,3580751_zeroshot.jsonl
3751573,improvement in nursing,phase I externship program,phase II corporate-academic cooperation program,continuous,,19.0,,23.0,117.0,19.0,159.0,23.0,,,3751573_zeroshot.jsonl
