id,evidence_inference_prompt_id,pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,notes,is_data_in_figure_graphics,is_relevant_data_in_table,is_table_in_graphic_format,is_data_complete,tiktoken_with_attributes_xml_token_num,tiktoken_without_attributes_xml_token_num,tiktoken_without_attributes_markdown_token_num,split
1,11248,57750,Death or myocardial infarction,eptifibatide,placebo,binary,,,,,,,,,Group sizes are not given so the events cannot calculate using the percentages.,False,False,False,False,5811.0,4777.0,3265.0,DEV
2,11249,57750,Myocardial infarction,eptifibatide,placebo,binary,,,,,,,,,Group sizes are not given so the events cannot calculate using the percentages.,False,False,False,False,5811.0,4777.0,3265.0,DEV
3,11266,1216327,The mean body weight gain,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,50.6,,-0.7,,Missing standard deviations,False,True,False,False,6350.0,5198.0,3913.0,DEV
4,11267,1216327,The duration of the illness,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,47.5,38.9,26.5,27.4,,False,True,False,True,6350.0,5198.0,3913.0,DEV
5,11268,1216327,The fecal losses,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30.0,,30.0,3.59,2.35,2.19,1.63,,False,True,False,True,6350.0,5198.0,3913.0,DEV
6,11451,1574360,The amount of saturated fat in the foods purchased,fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat,control received general non-specific advice about how to eat a diet lower in saturated fat,continuous,,251.0,,246.0,0.77,1.37,0.04,0.32,Have to use CI to calculate the SDs,False,False,True,True,1959.0,1620.0,1376.0,TEST
7,11452,1574360,the average cost of the food,fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat,control received general non-specific advice about how to eat a diet lower in saturated fat,xx,,251.0,,246.0,0.63,0.4,0.62,0.36,Have to use CI to calculate the SDs,False,False,True,False,1959.0,1620.0,1376.0,TEST
8,9683,2363753,Days with fever,Amifostine,Control,continuous,,20.0,,20.0,,,,,Only median reported,False,False,False,False,887.0,780.0,725.0,TEST
9,9684,2363753,Hospital stay,Amifostine,Control,continuous,,20.0,,20.0,16.0,,18.0,,No SD information provided,False,False,False,False,887.0,780.0,725.0,TEST
10,9682,2363753,Grade III/IV stomatitis,Amifostine,Control,binary,5.0,20.0,10.0,20.0,,,,,Abstract and result section do not agree. Settled on result section value as correct,False,False,False,True,887.0,780.0,725.0,TEST
11,9681,2363753,Glomerular filtration rate fall,Amifostine,Control,continuous,,20.0,,20.0,10.0,,37.0,,No SD information provided,False,False,False,False,887.0,780.0,725.0,TEST
12,12632,5459456,number of days with received courses of antibiotics,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,continuous,,103.0,,97.0,25.4,23.34,13.5,9.49,,False,False,False,True,11722.0,8106.0,5529.0,TEST
13,12633,2667135,proportion of patients completed therapy,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,93.0,103.0,44.0,97.0,,,,,,False,True,False,True,11722.0,8106.0,5529.0,TEST
