"","pmcid","intervention","comparator","outcome","outcome_type","is_data_in_figure_graphics","field","gold","from_gold","pred","from_pred","category"
"1",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Baseline angiotensin II receptor blockers (ARBs) intake","binary",FALSE,"comparator_group_size",64,TRUE,NA,TRUE,"FN"
"2",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Baseline angiotensin II receptor blockers (ARBs) intake","binary",FALSE,"intervention_group_size",59,TRUE,NA,TRUE,"FN"
"3",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Baseline angiotensin-converting enzyme (ACE) inhibitors intake","binary",FALSE,"comparator_group_size",64,TRUE,NA,TRUE,"FN"
"4",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Baseline angiotensin-converting enzyme (ACE) inhibitors intake","binary",FALSE,"intervention_group_size",59,TRUE,NA,TRUE,"FN"
"5",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Daily weight monitoring at the end of treatment","binary",FALSE,"comparator_events",19,TRUE,17,TRUE,"FN"
"6",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Daily weight monitoring at the end of treatment","binary",FALSE,"comparator_group_size",64,TRUE,59,TRUE,"FN"
"7",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Daily weight monitoring at the end of treatment","binary",FALSE,"intervention_events",47,TRUE,41,TRUE,"FN"
"8",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Daily weight monitoring at the end of treatment","binary",FALSE,"intervention_group_size",59,TRUE,52,TRUE,"FN"
"9",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Heart failure-related quality of life at the end of treatment","continuous",FALSE,"comparator_group_size",64,TRUE,NA,TRUE,"FN"
"10",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Heart failure-related quality of life at the end of treatment","continuous",FALSE,"comparator_mean",5,TRUE,NA,TRUE,"FN"
"11",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Heart failure-related quality of life at the end of treatment","continuous",FALSE,"intervention_group_size",59,TRUE,NA,TRUE,"FN"
"12",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Heart failure-related quality of life at the end of treatment","continuous",FALSE,"intervention_mean",1,TRUE,NA,TRUE,"FN"
"13",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Knowledge about heart failure","continuous",FALSE,"comparator_mean",NA,TRUE,57,TRUE,"FP"
"14",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Knowledge about heart failure","continuous",FALSE,"intervention_mean",NA,TRUE,55,TRUE,"FP"
"15",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Self-efficacy","continuous",FALSE,"comparator_mean",NA,TRUE,22,TRUE,"FP"
"16",1475568,"Follow-up and thorough education on self-care","Standard information about self-care","Self-efficacy","continuous",FALSE,"intervention_mean",NA,TRUE,22,TRUE,"FP"
"17",1574360,"fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat","control received general non-specific advice about how to eat a diet lower in saturated fat","The amount of saturated fat in the foods purchased","continuous",FALSE,"comparator_mean",0.04,TRUE,5.86,TRUE,"FN"
"18",1574360,"fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat","control received general non-specific advice about how to eat a diet lower in saturated fat","The amount of saturated fat in the foods purchased","continuous",FALSE,"comparator_standard_deviation",0.32,TRUE,NA,TRUE,"FN"
"19",1574360,"fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat","control received general non-specific advice about how to eat a diet lower in saturated fat","The amount of saturated fat in the foods purchased","continuous",FALSE,"intervention_mean",0.77,TRUE,6.33,TRUE,"FN"
"20",1574360,"fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat","control received general non-specific advice about how to eat a diet lower in saturated fat","The amount of saturated fat in the foods purchased","continuous",FALSE,"intervention_standard_deviation",1.37,TRUE,NA,TRUE,"FN"
"21",1574360,"fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat","control received general non-specific advice about how to eat a diet lower in saturated fat","the average cost of the food","xx",FALSE,"comparator_standard_deviation",0.36,TRUE,NA,TRUE,"FN"
"22",1574360,"fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat","control received general non-specific advice about how to eat a diet lower in saturated fat","the average cost of the food","xx",FALSE,"intervention_standard_deviation",0.4,TRUE,NA,TRUE,"FN"
"23",1863515,"Zidovudine prophylaxis initiation","placebo","absolute neutrophil count at 35 wk gestation","continuous",TRUE,"comparator_group_size",656,TRUE,632,TRUE,"FN"
"24",1863515,"Zidovudine prophylaxis initiation","placebo","absolute neutrophil count at 35 wk gestation","continuous",TRUE,"intervention_group_size",754,TRUE,730,TRUE,"FN"
"25",1863515,"Zidovudine prophylaxis initiation","placebo","absolute neutrophil count between 26 and 35 wk","continuous",TRUE,"comparator_group_size",656,TRUE,667,TRUE,"FN"
"26",1863515,"Zidovudine prophylaxis initiation","placebo","absolute neutrophil count between 26 and 35 wk","continuous",TRUE,"comparator_mean",0,TRUE,NA,TRUE,"FN"
"27",1863515,"Zidovudine prophylaxis initiation","placebo","absolute neutrophil count between 26 and 35 wk","continuous",TRUE,"intervention_group_size",754,TRUE,769,TRUE,"FN"
"28",1863515,"Zidovudine prophylaxis initiation","placebo","absolute neutrophil count between 26 and 35 wk","continuous",TRUE,"intervention_mean",-485,TRUE,NA,TRUE,"FN"
"29",1863515,"Zidovudine prophylaxis initiation","placebo","haemoglobin level at 35 wk gestation","continuous",TRUE,"comparator_group_size",656,TRUE,626,TRUE,"FN"
"30",1863515,"Zidovudine prophylaxis initiation","placebo","haemoglobin level at 35 wk gestation","continuous",TRUE,"intervention_group_size",754,TRUE,723,TRUE,"FN"
"31",1863515,"Zidovudine prophylaxis initiation","placebo","haemoglobin level between 26 and 35 wk","continuous",TRUE,"comparator_group_size",656,TRUE,667,TRUE,"FN"
"32",1863515,"Zidovudine prophylaxis initiation","placebo","haemoglobin level between 26 and 35 wk","continuous",TRUE,"comparator_mean",0,TRUE,NA,TRUE,"FN"
"33",1863515,"Zidovudine prophylaxis initiation","placebo","haemoglobin level between 26 and 35 wk","continuous",TRUE,"intervention_group_size",754,TRUE,769,TRUE,"FN"
"34",1863515,"Zidovudine prophylaxis initiation","placebo","haemoglobin level between 26 and 35 wk","continuous",TRUE,"intervention_mean",-0.4,TRUE,NA,TRUE,"FN"
"35",1863515,"Zidovudine prophylaxis initiation","placebo","leucocyte count at 35 wk gestation","continuous",TRUE,"comparator_group_size",656,TRUE,632,TRUE,"FN"
"36",1863515,"Zidovudine prophylaxis initiation","placebo","leucocyte count at 35 wk gestation","continuous",TRUE,"intervention_group_size",754,TRUE,730,TRUE,"FN"
"37",1863515,"Zidovudine prophylaxis initiation","placebo","leucocyte count between 26 and 35 wk","continuous",TRUE,"comparator_group_size",656,TRUE,667,TRUE,"FN"
"38",1863515,"Zidovudine prophylaxis initiation","placebo","leucocyte count between 26 and 35 wk","continuous",TRUE,"comparator_mean",0,TRUE,NA,TRUE,"FN"
"39",1863515,"Zidovudine prophylaxis initiation","placebo","leucocyte count between 26 and 35 wk","continuous",TRUE,"intervention_group_size",754,TRUE,769,TRUE,"FN"
"40",1863515,"Zidovudine prophylaxis initiation","placebo","leucocyte count between 26 and 35 wk","continuous",TRUE,"intervention_mean",-423,TRUE,NA,TRUE,"FN"
"41",2363753,"Amifostine","Control","Glomerular filtration rate fall","continuous",FALSE,"comparator_mean",37,TRUE,NA,TRUE,"FN"
"42",2363753,"Amifostine","Control","Glomerular filtration rate fall","continuous",FALSE,"intervention_mean",10,TRUE,NA,TRUE,"FN"
"43",2363753,"Amifostine","Control","Hospital stay","continuous",FALSE,"comparator_mean",18,TRUE,NA,TRUE,"FN"
"44",2363753,"Amifostine","Control","Hospital stay","continuous",FALSE,"intervention_mean",16,TRUE,NA,TRUE,"FN"
"45",2667135,"some portion of therapy outside of the hospital (CoPAT)","full course of therapy in the hospital setting","early discontinuations","binary",FALSE,"comparator_events",54,TRUE,53,TRUE,"FN"
